time,id,data,type,units
2022-10-13 17:06:00,Temp2_ST3,142.8,Temperature,F
2022-10-13 17:06:00,Temp1_ST3_high,148.4,Temperature,F
2022-10-13 17:06:00,Temp_SecLoopHexInlet,66.3,Temperature,F
2022-10-13 17:06:00,Temp_SecLoopHexOutlet,151.3,Temperature,F
2022-10-13 17:06:00,Flow_SecLoop,3.1,Flow,gal/min
2022-10-13 17:06:00,PowerIn_SecLoopPump,12.0,Power,W
2022-10-13 17:07:00,Temp_PrimaryPlantDelta_BTU,87.2,Temperature,F
2022-10-13 17:07:00,EnergyOut_PrimaryPlant_BTU,37.1,Energy,kWh
2022-10-13 17:07:00,Flow_CityWater_atSkid,3.1,Flow,gal/min
2022-10-13 17:07:00,Temp_CityWater_atSkid,65.3,Temperature,F
2022-10-13 17:07:00,Temp_PrimaryStorageOutTop,152.5,Temperature,F
2022-10-13 17:07:00,Flow_CityWater,3.0,Flow,gal/min
2022-10-13 17:07:00,Temp_CityWater,64.6,Temperature,F
2022-10-13 17:07:00,Flow_RecircReturn_MXV1,12.9,Flow,gal/min
2022-10-13 17:07:00,Temp_RecircReturn_MXV1_FM,131.6,Temperature,F
2022-10-13 17:07:00,Flow_RecircReturn_MXV2,13.0,Flow,gal/min
2022-10-13 17:07:00,Temp_RecircReturn_MXV2_FM,120.1,Temperature,F
2022-10-13 17:07:00,Temp_HotStorageInMechRoom,151.2,Temperature,F
2022-10-13 17:07:00,Temp_HotInlet_MXV1,91.1,Temperature,F
2022-10-13 17:07:00,Temp_RecircReturn_MXV1,130.6,Temperature,F
2022-10-13 17:07:00,Temp_RecircSupply_MXV1,130.0,Temperature,F
2022-10-13 17:07:00,Temp_HotInlet_MXV2,131.7,Temperature,F
2022-10-13 17:07:00,Temp_RecircReturn_MXV2,119.8,Temperature,F
2022-10-13 17:07:00,Temp_RecircSupply_MXV2,120.0,Temperature,F
2022-10-13 17:07:00,EnergyIn_HPWH,64232.7,Energy,kWh
2022-10-13 17:07:00,PowerIn_HPWH,9.8,Power,W
2022-10-13 17:07:00,PowerMeter_SkidAux_Energy,536.8,Energy,kWh
2022-10-13 17:07:00,PowerMeter_SkidAux_Power,0.1,Power,W
2022-10-13 17:07:00,EnergyIn_ERTank2,4872.4,Energy,kWh
2022-10-13 17:07:00,PowerIn_ERTank2,0.0,Power,W
2022-10-13 17:07:00,Temp_HPWHCondensing,212.0,Temperature,F
2022-10-13 17:07:00,Temp_HPWHEvaporating,67.0,Temperature,F
2022-10-13 17:07:00,Temp5_ST2_low_TH16,83.2,Temperature,F
2022-10-13 17:07:00,Temp_HPWHInlet,113.0,Temperature,F
2022-10-13 17:07:00,Temp_HPWHOutlet,159.0,Temperature,F
2022-10-13 17:07:00,Temp5_ST1_low,68.6,Temperature,F
2022-10-13 17:07:00,Temp4_ST1,107.7,Temperature,F
2022-10-13 17:07:00,Temp3_ST1,128.6,Temperature,F
2022-10-13 17:07:00,Temp2_ST1,140.4,Temperature,F
2022-10-13 17:07:00,Temp1_ST1_high,143.7,Temperature,F
2022-10-13 17:07:00,Temp4_ST2,98.5,Temperature,F
2022-10-13 17:07:00,Temp2_ST2,142.8,Temperature,F
2022-10-13 17:07:00,Temp5_ST3_low,67.1,Temperature,F
2022-10-13 17:07:00,Temp4_ST3,93.2,Temperature,F
2022-10-13 17:07:00,Temp3_ST3,119.3,Temperature,F
2022-10-13 17:07:00,Temp2_ST3,142.4,Temperature,F
2022-10-13 17:07:00,Temp1_ST3_high,148.3,Temperature,F
2022-10-13 17:07:00,Temp_SecLoopHexInlet,66.3,Temperature,F
2022-10-13 17:07:00,Flow_SecLoop,3.5,Flow,gal/min
2022-10-13 17:07:00,PowerIn_SecLoopPump,12.0,Power,W
2022-10-13 17:08:00,Temp_PrimaryPlantDelta_BTU,87.6,Temperature,F
2022-10-13 17:08:00,EnergyOut_PrimaryPlant_BTU,42.2,Energy,kWh
2022-10-13 17:08:00,Flow_CityWater_atSkid,3.0,Flow,gal/min
2022-10-13 17:08:00,Temp_CityWater_atSkid,65.2,Temperature,F
2022-10-13 17:08:00,Temp_PrimaryStorageOutTop,152.9,Temperature,F
2022-10-13 17:08:00,Flow_CityWater,3.6,Flow,gal/min
2022-10-13 17:08:00,Temp_CityWater,64.7,Temperature,F
2022-10-13 17:08:00,Flow_RecircReturn_MXV1,13.1,Flow,gal/min
2022-10-13 17:08:00,Temp_RecircReturn_MXV1_FM,131.6,Temperature,F
2022-10-13 17:08:00,Flow_RecircReturn_MXV2,12.8,Flow,gal/min
2022-10-13 17:08:00,Temp_RecircReturn_MXV2_FM,120.3,Temperature,F
2022-10-13 17:08:00,Temp_HotStorageInMechRoom,150.7,Temperature,F
2022-10-13 17:08:00,Temp_HotInlet_MXV1,91.1,Temperature,F
2022-10-13 17:08:00,Temp_RecircReturn_MXV1,130.6,Temperature,F
2022-10-13 17:08:00,Temp_RecircSupply_MXV1,131.0,Temperature,F
2022-10-13 17:08:00,Temp_HotInlet_MXV2,132.0,Temperature,F
2022-10-13 17:08:00,Temp_RecircReturn_MXV2,119.9,Temperature,F
2022-10-13 17:08:00,Temp_RecircSupply_MXV2,121.0,Temperature,F
2022-10-13 17:08:00,EnergyIn_HPWH,64232.9,Energy,kWh
2022-10-13 17:08:00,PowerIn_HPWH,9.6,Power,W
2022-10-13 17:08:00,PowerMeter_SkidAux_Energy,536.8,Energy,kWh
2022-10-13 17:08:00,PowerMeter_SkidAux_Power,0.1,Power,W
2022-10-13 17:08:00,EnergyIn_ERTank2,4872.4,Energy,kWh
2022-10-13 17:08:00,PowerIn_ERTank2,0.0,Power,W
2022-10-13 17:08:00,Temp_HPWHCondensing,210.0,Temperature,F
2022-10-13 17:08:00,Temp_HPWHEvaporating,65.0,Temperature,F
2022-10-13 17:08:00,Temp5_ST2_low_TH16,82.6,Temperature,F
2022-10-13 17:08:00,Temp_PrimaryStorageOutBottom_TH17,67.0,Temperature,F
2022-10-13 17:08:00,ProconA1M_ExternalWaterTemperature4_TH15_2,3.0,Temperature,F
2022-10-13 17:08:00,Temp_HPWHInlet,110.0,Temperature,F
2022-10-13 17:08:00,Temp_HPWHOutlet,157.0,Temperature,F
2022-10-13 17:08:00,Duty_QAHVPump,29.0,,%
2022-10-13 17:08:00,Temp5_ST1_low,68.4,Temperature,F
2022-10-13 17:08:00,Temp4_ST1,107.6,Temperature,F
2022-10-13 17:08:00,Temp3_ST1,128.5,Temperature,F
2022-10-13 17:08:00,Temp2_ST1,140.4,Temperature,F
2022-10-13 17:08:00,Temp4_ST2,98.2,Temperature,F
2022-10-13 17:08:00,Temp2_ST2,142.8,Temperature,F
2022-10-13 17:08:00,Temp5_ST3_low,67.0,Temperature,F
2022-10-13 17:08:00,Temp4_ST3,92.8,Temperature,F
